"%1 ending **** %2","%1 ending **** %2"
"The Klarna payment options could not be loaded.","The Klarna payment options could not be loaded."
"The authorization has expired and the customer has no saved cards to re-create the order.","The authorization has expired and the customer has no saved cards to re-create the order."
"The billing details for a subscription on this order have changed. Please see order #%1 for information on the new billing details.","The billing details for a subscription on this order have changed. Please see order #%1 for information on the new billing details."
"The customer needs to pay <b>%1</b> to the following bank account:","The customer needs to pay <b>%1</b> to the following bank account:"
"The customer was redirected to their bank for payment processing.","The customer was redirected to their bank for payment processing."
"The full amount is sent","The full amount is sent"
"The payment details for this order could not be retrieved from Stripe","The payment details for this order could not be retrieved from Stripe"
"The payment for this order could not be confirmed: %1.","The payment for this order could not be confirmed: %1."
"The payment intent with ID %1 could not be retrieved from Stripe","The payment intent with ID %1 could not be retrieved from Stripe"
"The payment was not authorized.","The payment was not authorized."
"The provided bank account details will be used for refunds if one is requested by the customer at a later time. You can alternatively enter the bank account manually when creating a Credit Memo","The provided bank account details will be used for refunds if one is requested by the customer at a later time. You can alternatively enter the bank account manually when creating a Credit Memo"
"The provided bank account details will only be used for refunds.","The provided bank account details will only be used for refunds."
"The selected billing country %1 is not supported by Klarna","The selected billing country %1 is not supported by Klarna"
"The selected currency %1 is not supported for the billing country %2","The selected currency %1 is not supported for the billing country %2"
"The selected shipping country %1 is not supported by Klarna","The selected shipping country %1 is not supported by Klarna"
"The source with ID %1 could not be retrieved from Stripe","The source with ID %1 could not be retrieved from Stripe"
"The subscription has a trial period but the card requires immediate authorization. Please use a different card.","The subscription has a trial period but the card requires immediate authorization. Please use a different card."
"The webhook request has no Order ID in its metadata - ignoring.","The webhook request has no Order ID in its metadata - ignoring."
"The webhook request has no product ID in its metadata - ignoring.","The webhook request has no product ID in its metadata - ignoring."
"This card cannot be used because it requires a 3D Secure authentication by the customer.","This card cannot be used because it requires a 3D Secure authentication by the customer."
"This order has already been refunded in Stripe. To refund from Magento, please refund it offline.","This order has already been refunded in Stripe. To refund from Magento, please refund it offline."
"This order has been automatically canceled because no payment has been collected for it. It can only be used as a billing details reference for the subscription items in the order. The subscription is still active and a new order will be created when it renews.","This order has been automatically canceled because no payment has been collected for it. It can only be used as a billing details reference for the subscription items in the order. The subscription is still active and a new order will be created when it renews."
"This order will be automatically closed because no payment has been collected for it. It can only be used as a billing details reference for the subscription items in the order. The subscription is still active and a new order will be created when it renews.","This order will be automatically closed because no payment has been collected for it. It can only be used as a billing details reference for the subscription items in the order. The subscription is still active and a new order will be created when it renews."
"To complete the order, please pay <b>%1</b> by scanning the QR code below with your mobile device","To complete the order, please pay <b>%1</b> by scanning the QR code below with your mobile device"
"Trialing until %1<sup>%2</sup> %3","Trialing until %1<sup>%2</sup> %3"
"Try to re-create the charge with a saved card","Try to re-create the charge with a saved card"
"USD Only","USD Only"
"Unable to create payment intent","Unable to create payment intent"
"Unknown event type","Unknown event type"
"Use a new card","Use a new card"
"Warn admin and don't capture","Warn admin and don't capture"
"WeChat Pay","WeChat Pay"
"You do not have any saved cards yet.","You do not have any saved cards yet."
"You do not have any subscriptions yet.","You do not have any subscriptions yet."
"You have enabled MOTO exemptions from the Stripe module configuration section, but your Stripe account has not been gated to use MOTO exemptions. Please contact support@stripe.com to request MOTO enabled for your Stripe account.","You have enabled MOTO exemptions from the Stripe module configuration section, but your Stripe account has not been gated to use MOTO exemptions. Please contact support@stripe.com to request MOTO enabled for your Stripe account."
"You must first add a full billing address before you can add saved cards.","You must first add a full billing address before you can add saved cards."
"You must first configure your Stripe API keys before you can configure webhooks","You must first configure your Stripe API keys before you can configure webhooks"
"You must first set a billing address before you can use this payment method","You must first set a billing address before you can use this payment method"
"You must first set a shipping address before you can use this payment method","You must first set a shipping address before you can use this payment method"
"Your Account Holder Name","Your Account Holder Name"
"Your Bank","Your Bank"
"Your IBAN","Your IBAN"
"Your account has been configured to use a different currency. Please complete the purchase in the currency: %1","Your account has been configured to use a different currency. Please complete the purchase in the currency: %1"
"Your bank account has been successfully verified.","Your bank account has been successfully verified."
"Your business name","Your business name"
"Your card details are protected using PCI DSS v3.2 security standards.","Your card details are protected using PCI DSS v3.2 security standards."
"Your card has been declined","Your card has been declined"
"Your order has been canceled. The payment authorization succeeded, however the authorizing provider declined the payment with the message: %1","Your order has been canceled. The payment authorization succeeded, however the authorizing provider declined the payment with the message: %1"
"Your order is pending! To complete the order, please transfer <b>%1</b> to the following bank account:","Your order is pending! To complete the order, please transfer <b>%1</b> to the following bank account:"
"Your order is pending!","Your order is pending!"
"Your order pending! To complete the payment, please transfer %1 to the bank account with IBAN %2 and BIC code %3.","Your order pending! To complete the payment, please transfer %1 to the bank account with IBAN %2 and BIC code %3."
"Your session has expired.","Your session has expired."
"Your subscription details have changed for order #%1. A new order #%2 has been created with the new billing details. This message does not mean that your subscription has been billed. The next subscription payment will be on %3.","Your subscription details have changed for order #%1. A new order #%2 has been created with the new billing details. This message does not mean that your subscription has been billed. The next subscription payment will be on %3."
"Zip Check","Zip Check"
"ending in","ending in"
"for order","for order"
ACH,ACH
Actions,Actions
Active,Active
Alipay,Alipay
BIC,BIC
Bancontact,Bancontact
Bank,Bank
Buy,Buy
Cancel,Cancel
Canceled,Canceled
Captured,Captured
Card,Card
Cards,Cards
Charge,Charge
Close,Close
Configure,Configure
Customer,Customer
Dark,Dark
Default,Default
Delete,Delete
Disabled,Disabled
Discount,Discount
Discover,Discover
Donate,Donate
Edit,Edit
Enabled,Enabled
Error,Error
FPX,FPX
Giropay,Giropay
IBAN,IBAN
JCB,JCB
Klarna,Klarna
Light,Light
Light-Outline,Light-Outline
Live,Live
MasterCard,MasterCard
Minicart,Minicart
Mode,Mode
Multibanco,Multibanco
None,None
Payment,Payment
Reference,Reference
Refunded,Refunded
SOFORT,SOFORT
Save,Save
Shipping,Shipping
Status,Status
Stripe,Stripe
Subscription,Subscription
Subscriptions,Subscriptions
Tax,Tax
Test,Test
Title,Title
Unpaid,Unpaid
Visa,Visa
Webhooks,Webhooks
exp,exp
expires,expires
iDEAL,iDEAL
optional,optional
or,or
